epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.8030941486358643,0.4901961088180542,33.96858215332031,0.23076924681663513,0.001
2,21.820716857910156,0.5098039507865906,31.10782814025879,0.23076924681663513,0.001
3,19.921892166137695,0.5098039507865906,15.656389236450195,0.23076924681663513,0.001
4,9.939281463623047,0.5098039507865906,0.9451164603233337,0.7692307829856873,0.001
5,1.840842843055725,0.4901961088180542,2.9848275184631348,0.7692307829856873,0.001
6,6.320146083831787,0.4901961088180542,2.108070135116577,0.7692307829856873,0.001
7,4.314765930175781,0.4901961088180542,1.0811269283294678,0.6153846383094788,0.001
8,0.19348832964897156,0.9215686321258545,4.519654273986816,0.5384615659713745,0.001
9,2.392632246017456,0.6666666865348816,5.521422386169434,0.46153849363327026,0.001
10,3.0009820461273193,0.6078431606292725,3.6322021484375,0.6153846383094788,0.001
11,1.4513601064682007,0.7254902124404907,1.3423097133636475,0.692307710647583,0.001
12,0.14583465456962585,0.9215686321258545,0.8894510269165039,0.8461538553237915,0.001
13,1.337493896484375,0.6078431606292725,0.987394392490387,0.8461538553237915,0.001
14,1.6334911584854126,0.6078431606292725,1.0701631307601929,0.7692307829856873,0.001
15,0.37413960695266724,0.843137264251709,2.2979869842529297,0.692307710647583,0.001
16,0.246541365981102,0.9019607901573181,3.7226243019104004,0.692307710647583,0.001
17,0.835705041885376,0.8235294222831726,4.154422283172607,0.692307710647583,0.001
18,1.0125749111175537,0.7843137383460999,3.5826339721679688,0.692307710647583,0.001
19,0.5994319319725037,0.843137264251709,2.3822920322418213,0.692307710647583,0.001
20,0.1466725915670395,0.9411765336990356,1.4679642915725708,0.692307710647583,0.001
