epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.689014196395874,0.5882353186607361,19.390419006347656,0.5384615659713745,0.001
2,17.547712326049805,0.5686274766921997,5.406037330627441,0.5384615659713745,0.001
3,4.171719551086426,0.5686274766921997,12.14144515991211,0.46153849363327026,0.001
4,12.562665939331055,0.4313725531101227,13.955977439880371,0.46153849363327026,0.001
5,14.402762413024902,0.4313725531101227,7.35792350769043,0.46153849363327026,0.001
6,7.322338581085205,0.4313725531101227,1.0724917650222778,0.6153846383094788,0.001
7,0.3040285110473633,0.8823529481887817,8.332568168640137,0.5384615659713745,0.001
8,5.70866060256958,0.5686274766921997,10.939595222473145,0.5384615659713745,0.001
9,7.923426628112793,0.5686274766921997,9.539058685302734,0.5384615659713745,0.001
10,6.373880386352539,0.5686274766921997,4.984904766082764,0.5384615659713745,0.001
11,2.1787307262420654,0.6666666865348816,1.2074639797210693,0.7692307829856873,0.001
12,0.49988698959350586,0.8627451062202454,3.753079891204834,0.692307710647583,0.001
13,2.5439398288726807,0.7254902124404907,5.358829975128174,0.692307710647583,0.001
14,4.039963245391846,0.6470588445663452,5.112274646759033,0.692307710647583,0.001
